'[17.724:17.72415.3045)',1
'[33.0285:33.028515.3045)',392
'[48.333:48.33315.3045)',565
'[63.6375:63.637515.3045)',217
'[78.94200000000001:78.9420000000000115.3045)',327
'[94.24650000000001:94.2465000000000115.3045)',38
'[109.551:109.55115.3045)',139
'[124.8555:124.855515.3045)',71
'[140.16:140.1615.3045)',5
'[155.4645:155.464515.3045)',121
'[170.769:170.76915.3045)',0
'[186.0735:186.073515.3045)',69
'[201.378:201.37815.3045)',1
'[216.6825:216.682515.3045)',24
'[231.987:231.98715.3045)',11
'[247.2915:247.291515.3045)',1
'[262.596:262.59615.3045)',14
'[277.9005:277.900515.3045)',0
'[293.205:293.20515.3045)',5
'[308.5095:308.509515.3045)',0
'[323.814:323.81415.3045)',1